BVP,TEMP,ACC_x,ACC_y,ACC_z
7.853988,35.838421,53.000000,25.000000,23.000000
21.019747,35.826393,52.000000,25.000000,26.000000
24.886684,35.818787,54.000000,25.000000,28.000000
20.681541,35.816177,51.000000,25.000000,28.000000
11.531436,35.818745,50.000000,26.000000,27.000000
2.995168,35.826324,52.000000,23.000000,25.000000
-0.973171,35.838367,55.000000,22.000000,23.000000
-2.327880,35.853848,56.000000,22.000000,19.000000
-5.188865,35.838917,55.000000,22.000000,22.000000
-8.855792,35.827347,55.000000,23.000000,23.000000
-9.733236,35.820091,53.000000,23.000000,26.000000
-8.718294,35.817650,53.000000,23.000000,25.000000
-10.344615,35.820171,50.000000,24.000000,25.000000
-16.408115,35.827473,57.000000,24.000000,22.000000
-24.465757,35.839020,55.000000,24.000000,21.000000
-29.048927,35.853848,53.000000,23.000000,21.000000
-23.762764,35.838192,53.000000,25.000000,22.000000
-8.072701,35.825928,55.000000,22.000000,23.000000
9.932079,35.818127,57.000000,22.000000,23.000000
22.291132,35.815395,52.000000,25.000000,25.000000
27.195187,35.817955,52.000000,23.000000,28.000000
25.057655,35.825665,52.000000,24.000000,24.000000
16.779419,35.837975,54.000000,22.000000,24.000000
7.036380,35.853848,57.000000,22.000000,22.000000
1.995040,35.839394,55.000000,24.000000,22.000000
2.512093,35.828331,57.000000,24.000000,21.000000
3.830271,35.821541,52.000000,24.000000,23.000000
2.508818,35.819435,52.000000,26.000000,23.000000
0.059149,35.822060,53.000000,25.000000,24.000000
-1.515068,35.829144,52.000000,23.000000,25.000000
-3.220798,35.840080,52.000000,25.000000,26.000000
-7.057349,35.853848,48.000000,24.000000,28.000000
-14.859632,35.836655,51.000000,27.000000,27.000000
-26.641899,35.822399,51.000000,26.000000,26.000000
