BVP,TEMP,ACC_x,ACC_y,ACC_z
63.192207,31.985912,-51.000000,31.000000,17.000000
63.115871,31.991819,-54.000000,32.000000,17.000000
60.647434,32.000591,-55.000000,31.000000,15.000000
54.856880,32.011292,-54.000000,32.000000,17.000000
46.279381,31.993778,-53.000000,32.000000,16.000000
36.172543,31.978405,-53.000000,31.000000,18.000000
26.675985,31.966299,-53.000000,32.000000,16.000000
23.260454,31.958244,-56.000000,32.000000,15.000000
28.953070,31.954723,-54.000000,32.000000,16.000000
36.298275,31.955919,-54.000000,30.000000,16.000000
33.572567,31.961649,-54.000000,32.000000,17.000000
18.188784,31.971266,-57.000000,29.000000,16.000000
-1.585175,31.954727,-57.000000,30.000000,15.000000
-16.358223,31.942301,-52.000000,28.000000,19.000000
-23.180742,31.934841,-56.000000,31.000000,15.000000
-23.798351,31.932709,-57.000000,32.000000,14.000000
-19.096411,31.935858,-54.000000,29.000000,17.000000
-9.465363,31.943897,-52.000000,30.000000,13.000000
2.592810,31.956078,-55.000000,30.000000,15.000000
16.450882,31.971266,-54.000000,30.000000,15.000000
34.872025,31.959047,-54.000000,31.000000,17.000000
55.282890,31.949472,-57.000000,27.000000,16.000000
66.679268,31.943344,-53.000000,29.000000,16.000000
61.482616,31.941128,-55.000000,29.000000,16.000000
43.928585,31.943022,-58.000000,29.000000,13.000000
23.257799,31.948977,-55.000000,29.000000,15.000000
5.017780,31.958639,-56.000000,29.000000,15.000000
-9.338258,31.971266,-56.000000,30.000000,15.000000
-21.461281,31.956806,-56.000000,30.000000,15.000000
-34.946388,31.945572,-54.000000,31.000000,15.000000
-48.954536,31.938528,-58.000000,31.000000,13.000000
-55.542656,31.936186,-55.000000,29.000000,13.000000
-49.175552,31.938683,-53.000000,30.000000,17.000000
-34.507874,31.945812,-56.000000,31.000000,15.000000
-20.276825,31.957003,-57.000000,30.000000,14.000000
-10.370158,31.971266,-54.000000,30.000000,15.000000
-3.255833,31.958311,-56.000000,29.000000,14.000000
3.863512,31.948248,-56.000000,30.000000,15.000000
10.820114,31.941900,-54.000000,30.000000,17.000000
14.581400,31.939714,-53.000000,27.000000,17.000000
14.307575,31.941841,-59.000000,31.000000,16.000000
12.371104,31.948160,-58.000000,29.000000,16.000000
10.490854,31.958239,-50.000000,27.000000,16.000000
9.537198,31.971266,-55.000000,31.000000,14.000000
12.235636,31.957130,-61.000000,30.000000,9.000000
20.846619,31.946106,-56.000000,29.000000,13.000000
32.279202,31.939146,-53.000000,29.000000,16.000000
39.036026,31.936773,-59.000000,28.000000,12.000000
35.450470,31.939154,-55.000000,30.000000,13.000000
23.521925,31.946117,-53.000000,30.000000,14.000000
11.171571,31.957138,-55.000000,27.000000,17.000000
3.503934,31.971266,-54.000000,31.000000,14.000000
-1.346029,31.958235,-60.000000,28.000000,13.000000
-6.843965,31.948162,-60.000000,26.000000,14.000000
-14.228400,31.941864,-53.000000,29.000000,17.000000
-23.483561,31.939762,-55.000000,29.000000,15.000000
-31.015862,31.941973,-56.000000,32.000000,13.000000
-28.931757,31.948330,-55.000000,34.000000,12.000000
-14.413338,31.958374,-54.000000,29.000000,15.000000
4.296661,31.971266,-54.000000,32.000000,16.000000
16.976166,31.956896,-56.000000,30.000000,13.000000
21.873627,31.945562,-55.000000,29.000000,13.000000
23.714878,31.938263,-55.000000,32.000000,15.000000
25.589670,31.935600,-55.000000,31.000000,16.000000
26.366173,31.937826,-54.000000,30.000000,15.000000
25.031052,31.944872,-56.000000,32.000000,14.000000
23.418386,31.956308,-55.000000,28.000000,16.000000
23.219580,31.971266,-54.000000,30.000000,16.000000
23.820099,31.959536,-53.000000,29.000000,18.000000
23.830696,31.951256,-56.000000,30.000000,15.000000
22.527411,31.947218,-51.000000,32.000000,18.000000
20.235634,31.947781,-55.000000,31.000000,14.000000
17.152550,31.952944,-56.000000,32.000000,13.000000
11.968118,31.962404,-56.000000,29.000000,16.000000
3.946967,31.975523,-54.000000,30.000000,15.000000
-5.783637,31.991278,-54.000000,30.000000,14.000000
-17.281420,31.979376,-55.000000,30.000000,14.000000
-31.130367,31.969946,-55.000000,31.000000,14.000000
-42.964764,31.963860,-55.000000,31.000000,16.000000
